Athlete Name,Contingent,Home Town,Type Name,Sports Name
Samantha Marie Rogers,New Brunswick,Moncton,Athlete,Badminton
Connor Rogerson,Ontario,Ottawa,Athlete,Speed Skating
Emily Rogowsky,Manitoba,"Stonewall, MB",Athlete,Judo
Liza Roik,Ontario,"Ottawa, Ontario",Athlete,Ringette
Gabriele Romano,Alberta,Calgary,Athlete,Gymnastics
Jack Ronahan,Prince Edward Island,Charlottetown,Athlete,Badminton
Milanne Rondeau,Manitoba,Winnipeg,Athlete,Ringette
Bernard Rosello,Manitoba,Winnipeg,Athlete,Wheelchair Basketball
Alex Ross,Nova Scotia,Halifax,Athlete,Hockey
Matthew Ross,Nova Scotia,NEWWATERFORD,Athlete,Boxing
Shani Rossignol,New Brunswick,Drummond,Athlete,Hockey
Conner Roulette,Manitoba,winnipeg,Athlete,Hockey
Sylvain Rourke,Northwest Territories,Yellowknife,Athlete,Speed Skating
William Rousseau,Quebec,,Athlete,Hockey
Félix Roussel,Quebec,Sherbrooke,Athlete,Speed Skating
Laurence Roux,Quebec,Laval,Athlete,Gymnastics
Brian Rowland,Ontario,"Merrickville, Ontario",Athlete,Alpine Skiing
Toby Rowswell,Prince Edward Island,Hunter RIver,Athlete,Cross Country Skiing
Arianne Roy,New Brunswick,Petit-Rocher Ouest,Athlete,Hockey
Josée Roy,Manitoba,Ste-Agathe,Athlete,Ringette
Joshua Roy,Quebec,Saint-Georges,Athlete,Hockey
Sylv Roy,Quebec,Saint-François-Xavier-De-Brompton,Athlete,Wheelchair Basketball
Téo Roy,Manitoba,Winnipeg,Athlete,Wheelchair Basketball
Tristan Roy,Quebec,St Cyrille de Wendover,Athlete,Hockey
Noah Royer,Saskatchewan,saskatoon,Athlete,Gymnastics
Alyson Ruan,Quebec,,Athlete,Badminton
Jacob Rubuliak,British Columbia,kelowna,Athlete,Speed Skating
Kaiya Ruiter,Alberta,"Calgary, AB",Athlete,Figure Skating
Alyssa Erin Rusk,New Brunswick,Fredericton,Athlete,Speed Skating
Thomas Rusk,Saskatchewan,"Prince Albert, Saskatchewan",Athlete,Snowboard
Alissa Russell,Yukon,Whitehorse,Athlete,Figure Skating
Tyler Russell,Newfoundland and Labrador,,Athlete,Judo
Anna Rust,New Brunswick,Quispamsis,Athlete,Gymnastics
Caleb Benjamin Rust,Nova Scotia,Elmsdale,Athlete,Judo
Ferghus Rutherford-Simon,Northwest Territories,Fort Smith,Athlete,Archery
Caroline Ryan,Newfoundland and Labrador,St. John's,Athlete,Artistic Swimming
Kennedy Ryan,Ontario,Caledon,Athlete,Freestyle Skiing
Ian Ryder,British Columbia,Steveston,Athlete,Judo
Jayda Sachs,Saskatchewan,Warman,Athlete,Hockey
mike sack,Nova Scotia,Indian Brook,Athlete,Hockey
Ariane Sagala,Quebec,Notre-Dame de l'Île-Perrot,Athlete,Ringette
Vijay Sahajpal,Newfoundland and Labrador,mount pearl,Athlete,Hockey
Jared A Sajtos,Saskatchewan,,Athlete,Wheelchair Basketball
Emily Sales,British Columbia,Kelowna,Athlete,Figure Skating
Robyn Salie,Manitoba,Winnipeg,Athlete,Speed Skating
Romain Salmon,Quebec,Toronto,Athlete,Squash
Nick Salverda,Alberta,Calgary,Athlete,Alpine Skiing
Leo Sammarelli,British Columbia,Vancouver,Athlete,Cross Country Skiing
Jack Corbett Sampson,Nova Scotia,Brookside,Athlete,Wheelchair Basketball
Kaj Magnus Sandbakken,Nunavut,Iqaluit,Athlete,Hockey
Karine Sandilands,Manitoba,Winnipeg,Athlete,Hockey
David Sandro,Ontario,Acton,Athlete,Gymnastics
Jake Sandstrom,Alberta,Calgary AB,Athlete,Freestyle Skiing
Fausto Santoro,Alberta,Edmonton,Athlete,Boxing
Dana Sapieha,Saskatchewan,saskatoon,Athlete,Ringette
