,Team Name,Team Members,Team Competitions,Team Event,Team Contingent,Team Final Position
429,SK,"Jacob Bourassa, J'lynn Mitchell","Total of Round 1 and Round 2, Round 2, Elimination 101, Round 1, Elimination 002, Elimination 201 - Bronze Medal",Archery Compound - Team Mix,Saskatchewan,Bronze
430,SK,"Reed Fitzgerald, Isaiah Scott Richter, Noah Michael Richter, Ethan Thomas Sutherland","Encounter 012, Encounter 022, Encounter 033, Encounter 201, Encounter 016, Encounter 026, Encounter 104",Squash Team Competition Male,Saskatchewan,6
431,SK,"Holland Heather Kozan, Keala Fleury, Sam Skaar, Chandria Yang, Sarah Blomquist, Hannah Corney, Briana Hess, Abby Corney, Kelly Davison, Mack Janzen, Anna Markwart, Jaycee Cale, Maya Fleury, Jenna Carter, Kennedy Gray, Sierra Page, Jordy Voykin, Dana Sapieha","Game 15, Game 10, Game 19 (1st Pool A vs. 4th Pool B), 7th - 8th Position Game (L24 vs. L25), Game 13, Game 04, Game 25 (L21 vs. L19)",Ringette Female,Saskatchewan,8
432,SK,"Ainsley Reese Bristol, Sydney Blue Carroll, Anna Dolgova, Jordyn Friedt, Bailey Hargreaves, Kiara Kroetsch, Kaibrie Lumbard, Kallie Lumbard, McKenna Martin, Emma Rainbow","Technical Routine, Free Routine, Technical Routine, Free Routine",Artistic Swimming Team Female,Saskatchewan,5
433,SK,"Kali Ann Friesen, Annika Marshall, Emmie Pelet, Meela Riben",Finals,Speed Skating Long Track - Team Pursuit Female,Saskatchewan,6
434,SK,"Shelby Harrower, Jared A Sajtos, Tanner Bolianatz, Jordan Mark Bortis, Bryson Bolianatz, Rachel Bindle, Jared Striemer, Chantel Scherr, Kaelen Rayne Hoffmueller, Garrett Chase Ostepchuk, Ekram Nabi, Brady Arthurs","Game 03, Game 14, Game 21 (3A vs. 5B), Game 06, Game 17 (3B vs. 3A), Game 23 (3A vs. 4B)",Wheelchair Basketball Mix,Saskatchewan,5
435,SK,"Joshua Comfort, Bon Lowe, Daniel Brian Pauli, Keagan Waddington, Jackson Wright","Relay Heat 51C, Relay Final 53B",Speed Skating Short Track - Team Relay Male,Saskatchewan,8
436,SK,"Khushi Goyal, Clarizze Perpetua, Sana Rehman, Summer Schofield","Encounter 012, Encounter 023, Encounter 103, Encounter 018, Encounter 025, Encounter 201",Squash Team Competition Female,Saskatchewan,5
437,SK,"Josiah Besler, Jordan Carroll, Jessie Georget, Ashton Kotlar, Noah Royer","Floor - A, P Bars - A, Rings - A, Floor - B, P Bars - B, Rings - B, H Bar - A, Pommel Horse - A, Vault - A, H Bar - B, Pommel Horse - B, Vault - B",Gymnastics Artistic - Team Event Male,Saskatchewan,4
438,SK-A,"Matt Gill, Mackenzie Lee Grove, Janice Grundahl, Nathan Gordon Weiman",Race,Cross Country Skiing Relay Mix,Saskatchewan,12
439,SK-B,"Simon Chambers crease, Jessica Jean Gill, Michio Green, Taylor Dawn Harrington",Race,Cross Country Skiing Relay Mix,Saskatchewan,17
440,Sohani/Sohani,"Chaitanya Sohani, Prasanna Sohani","Match 59, QF 01, Match 70",Badminton Doubles Male,Saskatchewan,5
441,Spott/Whitten,"Emma Spott, Maddie Whitten","Technical Routine, Free Routine, Technical Routine, Free Routine",Artistic Swimming Duet Female,Ontario,Bronze
442,Wang/Wadia,"Imran Wadia, Takeisha Wang","MATCH 89, QF 02, Gold Medal Match - Mixed Doubles, MATCH 102, SF1 Mixed Doubles",Badminton Doubles Mix,Alberta,Silver
443,Wilberforce/Wright,"Lily Wilberforce, Aidan Wright","Short Program, Free Program",Figure Skating Pairs Pre-Novice Mix,Ontario,Gold
